payers_tin,recipients_tin,payers_name,payers_add,payers_city,payers_state,payers_cont,payers_zip,payers_phn_no,recipient_name,rec_street,rec_cit,rec_stat,rec_cont,rec_zip,rec_acc,one_a,one_b,two_a,caledar_year,two_b,two_c,two_d,two_e,two_f,three,four,five,six,seven,eight,nine,ten,twle,trten,forten,fiften,sixten,company_name,coid
902-70 6306,903 76 0461,Nani ,"618 Brenda Plaza Apt. 409
South Michael, MI 11991",Hialeah,South Dakota,Mozambique,39161,(251)408-7511,Ratu Salifa,14385 Courtney Drive Suite 979,Quincy,Ohio,North Macedonia,49688,DINL00453554749616,28861.82,59946.55,65689.97,2019,34970.77,43445.05,6455.37,61973.96,17037.62,54931.44,19675.75,95473.77,56173.83,25095.91,US,97372.86,71168.95,19828.54,96131.07,NM,598-32-5309,86802.11,Target,TGT
984-79-7452,903-71-4145,Aman Ali,"68425 Mary Islands Apt. 578
East Adam, NY 06430",Chino,Louisiana,Slovakia,84988,(503)636-4115,Mandey Clark,50507 Clark Crossing Apt. 072,Las Cruces,West Virginia,Albania,40715,HIDD77067253681239,13725.23,93796.51,81427.9,1990,17097.07,29150.81,22136.37,28991.62,66117.76,78147.12,879.71,10222.39,35538.43,13785.94,US,51631.24,82577.57,96879.1,11745.12,WI,853-59-7821,17976.99,Schlumberger,SLB
975-78-5152,981 78-2256,Michael Colemen,"28370 Joseph Park
Parsonsmouth, FL 40136",Compton,Montana,Mozambique,78224,(635)642-7657,Axely Nirvana,45797 Shawn Bypass Suite 348,Westland,Colorado,Latvia,39442,QSUZ83019481117803,70706.21,8514.54,17218.83,1991,13580.64,17608.97,73608.72,80926.46,18549.32,17990.42,51141.49,30333.25,69533.95,93010.15,US,11741.03,18038.24,81688.11,96511.02,SC,847-02-4912,68450.84,Southern Company,SO
997 86-3145,917-77 8108,ابو انس انس,"010 Glover Parkway Suite 070
Carlsonview, IN 15178",West Valley City,Oregon,Serbia,17547,971-949-2802,Kenneth White,229 Fields Forges Suite 467,Oxnard,New Mexico,Maldives,25739,SJUY91414252909126,4764.88,6244.94,51736.55,1993,91371.54,32592.86,31828.54,19052.75,21373.04,37030.91,95057.84,10313.09,5441.82,36131.77,US,38506.5,79109.95,16683.61,30955.68,WY,164-12-2381,99502.62,Southern Copper,SCCO
931 80-0115,973 83-6932,Klaudia Koch,"25797 Amy Hill Apt. 124
New Savannahview, WI 32710",Portsmouth,Oregon,Niger,26605,001-294-268-5217,Jason Bourgeois,566 Gonzales Bridge Suite 146,San Diego,Montana,Czech Republic,41128,EHWY38489201003295,91110.33,96642.89,99603.28,2002,24113.26,73061.68,83250.45,14280.95,16847.75,71944.55,84448.46,47917.33,31295.39,55729.94,US,95079.29,62970.01,10252.96,5651.91,GA,467-63-8232,72160.24,General Dynamics,GD
945-86 1518,913 75 6651,Dham Sa,"99272 James Hill Suite 000
East Amandaberg, CO 17181",Rock Hill,New Mexico,France,13065,581-931-7831,Ellen Stewart,540 Snyder Street,Wilmington,Maine,Gabon,41362,EQNB95608116448618,56396.05,68042.33,69414.6,1992,75735.75,90045.44,46092.67,38949.68,19260.56,32214.87,28399.6,86638.81,89583.45,59700.41,US,84147.37,87429.03,20485.34,92798.63,TX,089-56-6925,35827.12,Chipotle Mexican Grill,CMG
996-71-0837,905 70 3581,عبدو عبدالله,"USNV Todd
FPO AP 30309",Murfreesboro,Maryland,Kyrgyzstan,87089,553-266-6505,Fred Gomez,1957 Rodriguez Wells,Winston-Salem,Virginia,Bahrain,52806,MBME22461143257594,23398.82,66901.45,28768.25,2000,8250.48,79575.85,10594.31,62856.76,73285.28,15841.04,9104.1,62547.8,91533.41,81132.16,US,76594.52,28496.63,72766.26,83414.65,MO,018-08-3506,47475.5,CSX Corporation,CSX
934 76-3125,976 80 8285,Sumit Singh,"USNS Barry
FPO AP 93739",Quincy,Kansas,Montenegro,63607,001-320-376-7709,Biktad Wmdwbk,7144 Joanna Well Apt. 047,Jacksonville,California,Niger,97117,IIHC01410596500313,60335.51,45922.64,85775.65,1997,45473.8,77853.07,42622.85,42282.28,70704.07,84770.05,11070.76,47358.16,43486.65,62579.73,US,6892.25,34949.5,71421.92,91642.92,KY,183-44-6374,23225.88,Duke Energy,DUK
958 80 0804,962-80-0241,Eva Leanna,"183 Oliver Camp
Melissachester, ID 35277",Memphis,Wyoming,Estonia,82843,+1-517-963-9893,Deshae Wyatt,2729 Ortiz Extension Apt. 738,Cape Coral,Texas,Netherlands,18777,EVZH36894281032675,41474.78,31061.71,81107.36,2019,24675.53,69688.42,50019.35,87809.79,52410.9,51854.85,3814.34,94893.52,1662.22,45617.14,US,97462.09,66893.2,35853.09,54669.18,HI,773-73-9294,81075,Colgate-Palmolive,CL
906-71-6026,938 88 4464,Tarek Bekich,"094 King Wells Suite 998
Gonzalezton, IA 57222",Long Beach,Wisconsin,Sudan,81309,624-578-3459,Alexandra Horton,9702 Kyle Stream Suite 846,Macon,Colorado,Bhutan,31597,HSJS30289930575134,55227.56,35136.41,1947.6,1996,22631.51,51650.02,36169.6,21081.5,27961.24,55955.14,38409.82,84316.34,74759.47,66631.81,US,81912.94,95549.02,23249.61,24311.45,VI,455-51-3717,47180.48,Marriott International,MAR
910 83 1123,975-75 8067,Jessica Jenkins,"USNV Anderson
FPO AA 68487",Nashville,Nevada,Guinea-Bissau,39228,+1-314-776-3818,Mikala Johnson,7506 Brooks Hill,Daly City,Indiana,India,91186,NGFD43008826861970,39702.17,85070.02,4571.44,2000,33616.39,2368.12,2061.14,35569.84,67175.28,12179.25,46845.21,46180.61,70284.99,8569.25,US,31343.67,46230.69,99348.55,30050.89,CO,031-23-0705,7147.49,EOG Resources,EOG
908 72 5172,904 84-4634,Luis Catillo,"716 Tracy Passage
Sweeneymouth, OR 17451",Racine,Nebraska,Nigeria,70412,230.357.7675,Deonta Gibson,244 Joshua Inlet Suite 798,Beaumont,Illinois,Suriname,83288,STGJ72644927963740,58305.02,38284.9,66106.9,1998,14147.94,5381.42,28940.09,29424.97,46187.77,29056.04,33942.82,12028.94,84301.83,47798.43,US,46023.41,34897.76,39652.35,77597.81,WI,505-80-0204,22758.72,Workday,WDAY
909-83 9658,978-78 9416,Chardi Williams,"76687 Brown Junctions Apt. 949
Jeffreyton, OH 81663",Albany,New Hampshire,Germany,25793,(423)856-4851,Ponam ,1729 Hamilton Squares,Bloomington,Maine,Costa Rica,12828,CUFR83209086188290,73566.99,98231.2,15237.14,2001,78548.43,17998.5,30025.19,43847.7,56618.05,22815.11,45658.4,71676.85,28292.31,86443.08,US,64417.84,22292.4,76734.45,54073.26,AR,100-59-2240,37799.44,Moody's,MCO
968-72 9983,951 72 5697,Md Rakib,"17082 Philip Hollow
New Erinborough, AR 82533",Yonkers,New Mexico,Comoros,32974,5366810774,Grupo De Danza Hijas Del Rey De Gloria,1861 Jessica Overpass Apt. 201,Charleston,Rhode Island,Iraq,47725,HFBB88873662720829,17388.55,67925.41,86692.11,1993,79164.74,74153.97,71959.25,14698.17,72118.62,32291.76,61976.17,65990.11,15026.38,30820.62,US,72343.99,68580.71,89574.93,94336.27,DC,368-87-7137,26523.42,Parker-Hannifin,PH
996 77 0001,943 71 0899,مروه علي,"48550 Castillo Wall
West Mario, GA 21831",Chattanooga,Kansas,Eswatini,57928,9565486138,Brent Johnson,85009 Joshua Plains Suite 472,Auburn,Wisconsin,Cambodia,69768,BGXY07523766870710,25368.58,80561.4,46612.17,1995,60468.87,24536.92,48509.1,31653.1,60486.47,29858.34,64867.27,87111.57,38921.36,68374.09,US,41226.62,94004.52,5274.05,26034.95,DC,022-53-6165,42509.03,Marathon Petroleum,MPC
933 81 8741,936-79-3732,أمير العشاق,"8337 Green Motorway Suite 381
East Jessica, GA 57714",Visalia,Connecticut,Seychelles,83097,(501)719-3389,Justin Deshotels,41403 Wood Ramp Suite 637,Stamford,Virginia,United Arab Emirates,1011,YPKY28608568330587,22271.76,87285.02,83234.75,1992,69474.6,52207.6,60485.2,27192.7,36711.06,9603.56,29651.03,39337.12,56310.22,69459.89,US,15867.91,17180.67,82607.22,17256.53,AZ,882-42-5143,31678.07,Becton Dickinson,BDX
976 78 0563,955-85-0264,Hulat Halat,"2156 Walls Overpass Apt. 791
Evelynview, HI 70531",Mount Pleasant,Wisconsin,Austria,31877,001-374-814-9664,Sharon Gamble,90870 Franklin Glen Suite 055,Cary,California,Mali,67895,ARCY85764483368691,62721.56,52660.56,47872.21,2021,92457.26,36728.59,93852.29,99448.29,78007.42,18482.91,67700.66,54400.85,37334.96,31805.13,US,41171.36,25660.11,99625.45,112.18,KS,108-08-0536,11355.56,Northrop Grumman,NOC
993 81-2525,969 82 3036,Tamia Johnson,"0373 Cabrera Forest
South Lorifurt, MI 41233",Longmont,Illinois,Djibouti,26494,001-739-213-1338,Shey Salameh,7401 Danny Ferry,Greeley,New Hampshire,Pakistan,27136,DUGF92001966769921,76071.72,38450.22,23826.57,2003,22071.86,48332.13,14478.97,83971.5,64107.03,31760.77,42293.74,541.4,51901.23,85388.9,US,18081.47,65335.16,73911.93,19008.35,AZ,475-96-8902,7037.86,McKesson,MCK
986-85-4164,993 80 7653,Sanajy Sahu,"04138 Troy Hills
East Kennethville, MN 03936",West Covina,Wisconsin,Sweden,29046,577.576.5790,Adam Parish,95072 Cameron Turnpike Apt. 469,Buffalo,Nevada,Bhutan,85872,MWWQ48964858520396,3463.13,88980.92,39493.41,1999,56118.68,81050.31,62552.4,18780.6,55711,62071.6,5994.33,27058.37,40925.82,51416.18,US,70773.69,98900.09,38007.75,29214.96,PR,651-54-1721,96623.92,PayPal,PYPL
996-81-9965,985-86-7090,Markel Moore,"2292 Bryan Plain
West Rhondaborough, WI 58985",Independence,Massachusetts,Taiwan,90491,+1-741-311-2982,ملاك زادي,8334 Glover Meadow,Anaheim,Ohio,Djibouti,88959,HEKW44604828686364,45285.84,74319.09,10917.45,1991,98345.03,99672.42,56081.69,50960.33,77557.3,18838.01,32327.96,80688.04,57951.35,46021.23,US,56510.09,23838.36,44153.38,74598.01,VT,848-08-0195,73798.19,U.S. Bancorp,USB
929-72 6135,915-84 6388,Tia Mudhaz,"694 Jones Plains
Kimbury, IN 84371",Jacksonville,West Virginia,Namibia,14971,001-671-897-8349,Sharae Hand,9268 Gina Falls Suite 258,New Rochelle,Arkansas,Guyana,59760,UAMJ18120029077949,81818.26,72027.83,91976.13,2015,42471.6,14476.46,53126.34,98861.42,47828.94,23235.81,95669.27,38742.66,90948.1,88236.65,US,97886.96,3462.17,56760.27,80678.51,RI,061-26-6626,81383.32,Phillips 66,PSX
947-82 1916,908 88-5646,Arjun Holo,"60554 Butler Walk
Davidland, TN 12542",Boca Raton,Idaho,Serbia,2844,+1-421-557-9120,Terrill Clayton,457 Jacobson Street,Boynton Beach,New York,Singapore,11407,XFTU27691384559404,28482.86,81337.78,58166.35,2014,92167.07,74116.83,438.02,92593.99,47427.13,41441.61,94681.85,94453.44,54178.61,67207.53,US,11823.27,56228.09,18694.81,51103.62,TX,325-26-4700,95499.77,Supermicro,SMCI
979 75 1028,984-87-6179,Marius Gustav,"10526 Hampton Fork Apt. 844
East Teresaberg, AL 93106",Kansas City,South Carolina,United Arab Emirates,87030,001-487-275-3352,Dtorian Roach,2350 Miller Falls,Glendale,Arkansas,Qatar,78924,DHNZ35919200787743,67831.99,20867.93,18808.67,1994,72173.9,6708.71,65328.35,10633.8,8135.99,36791.69,91626.79,70119.33,70019.7,95755.6,US,76385.45,11901.66,12463.37,3097.59,AZ,867-86-3158,28918.52,Amphenol,APH
908 89-5306,989-78-0019,حبل الكذب قصير,"2889 Vega Knoll Apt. 832
Kelseyborough, ND 05780",Westland,Delaware,Bangladesh,40260,+1-386-517-7616,Chris Landrum,262 Watson Streets,Independence,Nebraska,Panama,91100,NGJW06907370256464,84652.45,19863.54,58570.69,2014,35080.63,86722.65,9599.67,98385.36,71219.44,66407.39,82144.61,80444.13,92719.26,95805.53,US,85051.66,11622.59,98505.67,18257.53,VI,360-68-7529,26068.34,TransDigm,TDG
912 78 2145,966 74 2071,Katrain Katrain,"5392 Pearson Route
Doyleshire, FM 94068",Boulder,Maryland,Lebanon,31741,6608449990,Tamarius Smith,526 Diane Underpass,Longmont,South Carolina,Japan,71263,XEHN66762767930549,35841.34,18523.39,74829.55,1996,38449.91,14937.26,17633.56,11414.11,2919.06,29399.87,69699.2,69248.6,30752.87,56452.84,US,80517.64,35771.38,16153.07,60017.24,OK,035-89-3881,7840.36,O'Reilly Automotive,ORLY
968 74-9501,900 79-2070,Artemisia Trevisan,"056 Lynn Drive
New Garyport, NH 81204",Compton,Indiana,Indonesia,11358,639-202-2226,Meco Kornbacher,30107 Jason Falls,Long Beach,Maryland,Samoa,53729,COMA50458165258914,68370.82,43075.37,21109.44,1994,50235.83,36637.48,48353.69,24459.25,14392.28,56932.54,81810.84,17486.6,18785.56,93612.17,US,66235.19,59604.13,53287.15,72657.62,UT,617-49-2959,50140.73,Ecolab,ECL
929-71-0498,945 81 8866,Courtney Banks,"9565 Jose Divide Suite 000
Seanside, NY 99724",Gainesville,South Dakota,Uzbekistan,58164,001-899-438-3945,Rebecca Turner,2171 Nicole Ridge,Cary,Wisconsin,Chile,21235,JNMY59026672873222,62352.37,93633.55,80026.3,1997,35079.91,63263.79,94921.28,20361.09,7013.85,79097.12,97057.24,90629.21,118.04,58189.05,US,78791,10811.81,34740.06,55052.44,CO,639-49-8651,33498.12,Monster Beverage,MNST
906-85-9262,914 85-2419,Shahi Deshmukh,"15425 Roy Canyon Apt. 679
Patrickhaven, DE 07566",Billings,North Dakota,Timor-Leste,60379,753-690-0994,ابو انس انس,662 James Neck Suite 603,Providence,Connecticut,Israel,33094,TLAY95532706238222,71035.75,52673.36,11946.81,2012,98279.97,48271.91,67201.39,74970.36,12444.51,39601.1,42242.43,22770.71,6344.53,1325.88,US,52758.14,13774.32,20950.43,36353.45,FM,426-88-6618,36771.78,FedEx,FDX
907 70-0454,984 71 3039,Jamiie Lewis,"05869 Adams Cape Suite 666
Port Jake, PA 39359",Albany,Colorado,Turkey,19916,+1-898-683-5165,Mikey Nelms,8803 Scott Key Apt. 187,Columbus,Delaware,Israel,85716,PZYX88375949819057,59928.34,43766.27,85265.52,2000,63991.55,54824.55,30307.53,44569.09,97678.61,63048.61,61509.13,9771.11,41599.29,90203.89,US,67558.65,92233.24,27921.68,29820.9,WV,695-14-2468,7766.82,Cintas,CTAS
920-82 8056,955-70 6948,Abril Valenzuela,"354 Valerie Fort Apt. 125
Port Ashleytown, SC 40915",Richmond,Massachusetts,Luxembourg,60575,001-612-300-9397,Joe Danyil,6312 Michael Well,Wyoming,Utah,Paraguay,97923,GTES44092166046467,96282.73,86612.43,73488.5,1997,92838,11288.24,62456.21,59785.63,50761.68,73588.38,71627.66,64487.96,65399.85,5609.55,US,27312.77,79497.27,9285.03,86074.72,MS,173-01-4032,20884.19,Emerson,EMR
972-73 0636,985 80-4639,静佳 長谷川,"227 Jake Mews
Lucasberg, IN 32951",Sacramento,Pennsylvania,Tunisia,14096,944.754.1037,Paul Norred,6455 Tina Plaza,Pawtucket,North Dakota,Ecuador,65896,CSHR36245766653226,13268.64,2978.1,13317.61,2012,16128.31,62052.31,26148.88,28612.5,74432.03,30228.08,33826.03,60353.17,39609.18,57487.45,US,7599.4,56077.36,24403.94,14780.66,GA,256-14-1306,3582.92,Enterprise Products,EPD
970 87 3219,955 74 3188,Garage Garage,"39976 Eaton Ridge Suite 532
Gordonmouth, AL 16632",Tulsa,North Dakota,Vatican City,78542,703.989.4616,Chad Williams,2306 Tristan Street,Brooklyn Park,Tennessee,Congo,21522,ILCE65167714179517,22126.36,98799.32,93059.66,1995,12997.53,36069.66,79606.05,84548.79,63805.36,89497.56,34019.58,14537.2,36257.92,58424.92,US,81055.52,53869.04,56083.2,17282.58,PR,733-58-5365,11618.53,Apollo Global Management,APO
981-81 1909,990-75 1642,Justice Young,"685 Mckenzie Stravenue Apt. 217
Cooperton, OR 87802",Baltimore,Michigan,Tunisia,8827,+1-751-800-0433,Virginia Cave Campo,51677 Hayley Mills Apt. 312,Laredo,Ohio,Turkey,15706,UAVC17101348171807,99901.91,18625.1,30990.76,1993,98507.42,95754.37,21618.9,10676.49,83722.76,46176.28,82763.37,48141.03,80495.83,98960.24,US,22175.76,7126.86,24721.85,67135.44,WI,392-09-0123,20685.87,Freeport-McMoRan,FCX
906 74-5523,993 87 5746,أحمد حسن,"82420 Sarah Road
Lake Cheryl, MN 51397",Washington,North Carolina,South Sudan,44567,836-943-9124,Michael Robertson,50593 Jennifer Neck,Livermore,Maryland,Mauritius,55381,DMFB06931297147020,62555.5,6512.46,31925.7,1996,59006.76,28975.76,92316.47,18646.43,61651.32,83607.62,75085.91,4829.78,70727.17,84763.76,US,16424.3,31844.45,9344.09,79766.91,AS,851-75-2691,82757.53,Paccar,PCAR
947-78-7385,915-70-1530,اناقة رجل شرقي شرقي,"USS Allen
FPO AA 50435",Mission,Kentucky,Georgia,29344,+1-767-566-1838,Scottie Tillman,6667 James Crest,Renton,North Dakota,Switzerland,33002,ZVGT05289527449992,28822.29,11933.37,89407.56,2014,90981.53,47700.98,4565.36,76564.99,29677.63,24218.06,20581.87,89120.75,77575.39,39524.85,US,84177.67,73933.04,61433.68,53869.78,ND,632-35-3014,24511.38,PNC Financial Services,PNC
943 71 0899,930-87 3692,Traficant Doamor,"7555 Samantha Ferry
East Christopher, NM 69594",Orem,Kansas,Solomon Islands,28592,400.294.1881,Alli Mcfarland,3237 Zachary Islands Suite 616,Cape Coral,Texas,"Korea, South",46094,OPTW01052440842019,49692.39,30553.69,63756.37,2009,15681.99,796.86,21410.41,13258.82,84717.07,60385.77,73600.33,91567.89,77435.16,23022.58,US,20005.07,73915.01,97714.04,2293.55,AZ,720-83-8530,54726.86,Norfolk Southern,NSC
967 79 2130,998 79 7401,Noyon Moni,"USS Miller
FPO AP 54026",Denver,North Carolina,Honduras,45946,9637605713,Ryan Chipman,591 Smith Track,Sandy,Missouri,Indonesia,53391,GMMX24664993384832,48230.59,60841.48,22536.27,2007,48266.95,57187.67,73932.69,81501.39,67975.11,1220.96,18534.01,90198.88,83602.46,45635.24,US,31444.74,13763.74,70117.74,62490.91,FM,706-97-7101,22534.53,Roper Technologies,ROP
991 77 2472,930 81-2370,كريستين يلا,"07409 Mary Ville
East Daniellebury, RI 06901",Louisville,Michigan,Japan,58302,001-660-395-1929,Ahriel Jones,1078 Megan Corners Apt. 821,Sunnyvale,Virginia,South Sudan,85437,RWIE15357565292865,7882.05,97387.58,20705.4,1995,2604.71,98255.01,60173.53,92244.43,90771.49,48566.82,29525.37,86025.08,36392.56,57009.97,US,33950.79,396.24,23196.51,89139.94,GA,350-86-3114,54513.82,Coinbase,COIN
998-84 1425,926 87 7095,Anita Geraldine,"29419 Joann Island Apt. 169
Kathleenfort, LA 19190",Washington,Hawaii,Pakistan,64250,+1-541-586-8716,Emily Denicola,408 Griffin Forest Apt. 277,Fort Lauderdale,Wyoming,Kyrgyzstan,31741,PNKV16470898068695,27785.84,81174.49,88192.15,1994,61974.3,39532.72,2192.06,39935.03,88349.83,88247.94,50514.98,37810.27,39156.7,16330.59,US,13162.54,28705.98,61946.95,37995.85,AL,194-44-2843,12387.62,Republic Services,RSG
938 88 4464,977-87 0233,Sudha Sudha,"977 Velez Row
Kevintown, IL 82126",Roswell,Utah,Vanuatu,89025,570-324-8542,Ovidio Bonilla,9727 Simpson Knolls Apt. 803,Corona,Alabama,Bahamas,1675,KXHP63573444448636,4672.56,57999.39,22406.32,1997,17867.68,9553.38,45886.86,28289.1,86465.81,38855.96,30535.56,5589.28,98687.81,58891.44,US,56160.08,52454.65,94715.41,84466.67,FM,150-78-4273,66587.22,Marvell Technology Group,MRVL
999 81 6540,982-73-8904,Nate Tron,"724 Steele Gardens Apt. 984
Port Elizabethfurt, AL 32859",Peoria,Ohio,Philippines,36384,+1-359-683-7063,Kailey Carlock,11129 Hill Ridges Apt. 286,Rialto,Idaho,Denmark,91014,GRKG75846537246580,77079.96,35346.72,68422.67,1993,98303.12,40138.66,1188.78,99253.18,51372.82,78956.31,73065.85,12889.08,54925.97,92451.63,US,96468.68,79540.59,73088.75,21549.46,WY,575-71-8156,1621.23,Pioneer Natural Resources,PXD
948-74 5252,985-73 6080,Ishana Thompson,"55889 Alicia Junctions Apt. 558
Donovanport, FM 53044",Newport News,North Dakota,Eswatini,53391,001-490-373-2654,George Whitmore,568 Heidi Inlet Suite 183,Layton,Oregon,Palau,69536,GJUX24231704714413,49360.69,29602.9,64426.02,2003,47836.3,11692.94,51077.15,95573.99,87750.87,5549.22,91098.11,92919.87,89441.29,99727.24,US,17209.12,66386.36,82899.94,5503.28,HI,065-84-0560,91828.08,3M,MMM
983 72 5181,966 86-0726,Gappu Kumar,"5957 Laura Lights
Jonesmouth, NC 63486",New Haven,South Dakota,Guinea-Bissau,68629,5089134268,Kenya Nelson,59844 Hale Drives Suite 571,Minneapolis,Illinois,Moldova,6268,QEQW02498401837312,14616.99,79057.34,83285.18,1998,99446.99,46509.25,81440.48,64558.36,63758.51,10747.41,78325.41,11944.6,92808.7,18319.66,US,76848.62,44551.56,64675.76,9020.7,VA,073-94-8802,15407.85,Motorola Solutions,MSI
963 73 4080,902 87-5065,Ponam ,"Unit 6059 Box 8440
DPO AP 78221",Corona,Connecticut,Burkina Faso,7450,+1-575-977-3488,Jordynne Duncan,52836 Horton Mews Suite 174,Kansas City,South Dakota,Qatar,18175,FHSD19990356979186,72136.42,23637.7,33585.94,2002,83845.33,49195.12,62771.94,96643.67,3313.61,11948.11,2872.6,50482.32,94702.28,76304.72,US,90850.58,81966.65,78607.28,47326.27,PA,765-31-7537,85992.68,Edwards Lifesciences,EW
915-75 4503,958-72 2750,Omar Smart,"PSC 5494, Box 1771
APO AA 10995",Pittsburgh,Nevada,Niger,31229,(841)387-1344,Brian Mock,854 Martinez Terrace,Troy,Alabama,Slovenia,59868,VPQV04886403902765,92405.96,31921.47,23954.48,1999,10764.85,68285.03,9093.83,15919.54,20184.43,79122.2,96230.43,19224.01,31652.34,91719.6,US,2402.43,70347.6,37940.91,97852.24,MO,139-38-7435,73023.9,Estee Lauder,EL
961-80-5555,984-81 5966,Sangeeta Jain,"40051 Jennifer Junctions Suite 695
New Davidland, VA 87982",Gulfport,Nevada,Iraq,40818,(600)399-3377,Scobi Snacks,37647 Alex Landing,Hartford,Ohio,Cambodia,77115,ASIC80703135981935,90764.97,52134.89,66610.74,2000,31285.35,62206.55,98087.44,88407.26,24493.81,55941.28,96244.63,47182.52,42806.91,21517.7,US,95855.48,87224.59,14626.64,21748.25,AL,766-53-6506,96779.6,Simon Property Group,SPG
928-88 3474,916-77-8197,Hannah Mills,"1447 Antonio Harbor
New Christina, KY 44119",West Jordan,Connecticut,Cyprus,79735,001-348-339-3004,Lashay Ledet,8931 Andrea Port Suite 879,Chesapeake,Ohio,Nicaragua,14096,RMCT11897733221365,84495.93,39023.65,7173.91,2019,90653.46,19814.74,12272.06,22019.19,80661.83,31222.9,75406.04,64850.39,15004.78,35427.7,US,83336.65,25377.78,92936.65,57072.87,HI,600-17-4411,73012.91,Arthur J. Gallagher & Co.,AJG
971-83-3906,900-85-7403,Koko Jeni,"18704 Jimenez Curve
Kingberg, LA 26093",Syracuse,Oklahoma,Micronesia,81917,+1-287-744-7341,Jenny Neko,7505 Wise Fall,Mountain View,California,Malawi,82270,LRTT69704873539883,93580.7,74239.55,99536.57,1991,4060.03,94656,28449.68,17760.78,6561.18,73293.76,62969.81,17939.18,46181.8,5179.73,US,2976.57,7269.34,88160.37,7214.06,ND,611-39-0420,4774.61,Autodesk,ADSK
908 86 8519,977-73-7086,Sara Weatherspoon,"07499 Donna Fall
Sanchezhaven, VI 52862",Las Cruces,Tennessee,Iraq,19808,(801)323-4702,John Stewart,852 Randolph Gardens,Davie,Arkansas,Monaco,49502,SFEL33963223690769,19884.69,63351.91,66066.02,1990,71830.7,11700.27,15111.19,50499.18,79494.57,16049.38,32445.82,27155.7,83756.38,12870.05,US,1411.92,94387.93,40038.21,58356.03,MN,780-93-6309,68946.99,Palantir,PLTR
984 70-1030,906-85-9262,Amarita Hatuni,"621 Bailey Square Apt. 729
Lake Patriciafurt, MI 11941",Palmdale,Iowa,Palestine,22038,001-438-954-8632,Brandon Robertson,145 Christopher Via,Columbus,Utah,Nigeria,39913,JLFC78205451097538,51161.34,42019.96,28333.59,2002,17333.68,83525.6,32628.36,73037.44,65748.2,3213.69,64914.29,3488.96,51742.58,15384.65,US,91792.58,69772.3,51112.03,74427.86,VA,584-45-6763,62592.44,Occidental Petroleum,OXY
991-73 3059,901-85-7011,Gia Hasan,"41340 Laura Ridge
Davidborough, MT 80476",St. Joseph,Minnesota,Djibouti,8110,8934275863,Montrel Bowman,4809 King Canyon,Pawtucket,South Carolina,Cambodia,29724,HQWD97788874808046,78585.94,75301.85,18771.4,2017,69472.44,16029.33,18388.78,96427.04,78673.42,96992.72,75934.34,35023.28,56106.36,51300.2,US,29857.68,3458.56,13513.49,12250.72,FL,320-93-0972,16054.9,Air Products and Chemicals,APD
997 82 2197,962 82 9167,Patrice Harding,"57100 Alvarez Rapids Suite 023
Gomezshire, RI 20393",Naperville,New Hampshire,Montenegro,60108,520.283.5535,Cooper Tholborn,942 Christopher Skyway Suite 215,Green Bay,Minnesota,Benin,21418,EYIU48852672184601,37598.33,69475.95,30365.84,1991,62845.2,3145.41,3435.21,10136.08,17799.71,24805.32,48432.25,64856.48,94887.26,92325.02,US,32271.06,63999.36,53615.84,4861.25,LA,153-14-1687,16856.51,Copart,CPRT
926-70-7136,907-89-0751,Hero ,"Unit 3173 Box 3922
DPO AP 95523",Livonia,New York,Saudi Arabia,57539,813-267-9369,Kelly Rankins,3272 Cheryl Knoll,Santa Rosa,New York,Vatican City,43943,ZDLD25277003347301,89101.25,13614.27,96598.96,2021,88521.56,83927.82,31134.88,51477.68,23348.24,77540.25,85560.42,23025.93,97333.37,53189.55,US,44924.44,46674.86,32813.97,5097.5,OR,243-14-7775,32795.41,Capital One,COF
932-74-4992,958-81 8351,Yasmile Villor,"989 Gregory Springs Suite 283
Brownbury, NE 96618",Manchester,Hawaii,Bangladesh,69494,001-657-680-8608,Kim Brown,64112 Shelby Ports,Baltimore,Wisconsin,Kyrgyzstan,27729,TPCQ48413579526353,786.19,35709.81,2682.11,2019,83145.28,54367.5,65988.56,21685.66,83611.34,62356.3,22198.98,75513.8,77869.12,87036.86,US,74453,63854.69,27942.12,27648.26,MI,121-41-9686,92869.09,Snowflake,SNOW
932 82 0999,904 71-1983,Ahmad Ahmad,"5628 Lorraine Mountains Apt. 272
Maryside, NE 78782",Boulder,New Mexico,Singapore,43396,+1-303-426-2348,William Ozuna,74353 Dean Unions,Macon,Georgia,United Kingdom,80331,QHBP85955760368832,97488.88,58531.08,7781.8,1993,50904.38,84393.34,55759.65,9731.77,74422.56,98772.05,74291,98935.42,30563.56,15240.12,US,27152.59,67791.03,80305.64,60756.51,KS,283-73-4622,63956.15,Valero Energy,VLO
958-72 2750,999 77-9504,Cirilla Russo,"2821 Jane Stream
South Ginaville, ID 28809",Kansas City,Louisiana,Lithuania,4127,320-559-7590,Sudha Sudha,9834 Hall Causeway,Mount Vernon,Maryland,Mexico,15288,WVNO31302453109488,33012.99,7394.86,19198.31,2007,57371.49,59672.69,82343.14,41743.58,6001.57,52531.92,58042.07,64152.3,69665.17,34982.87,US,82446.16,87926.64,38307.53,74283.84,CO,229-62-8371,94955.44,AutoZone,AZO
